113,돈암2동 주민센터,02-2241-5160,서울특별시 성북구 흥천사길 7
114,삼선동 주민센터,02-2241-5040,서울특별시 성북구 보문로 190
115,동선동 주민센터,02-2241-5080,서울특별시 성북구 동소문로26길 27
116,안암동 주민센터,02-2241-5200,서울특별시 성북구 인촌로 16
117,보문동 주민센터,02-2241-5240,서울특별시 성북구 안암로3길 35
118,정릉1동 주민센터,02-2241-5280,서울특별시 성북구 정릉로38마길 33
119,정릉2동 주민센터,02-2241-5320,서울특별시 성북구 정릉로26길 1
120,정릉3동 주민센터,02-2241-5360,서울특별시 성북구 솔샘로1길 6-3
121,정릉4동 주민센터,02-2241-5400,서울특별시 성북구 보국문로 106-1
122,길음1동 주민센터,02-2241-5440,서울특별시 성북구 길음로 92
123,길음2동 주민센터,02-2241-5480,서울특별시 성북구 삼양로2길 70
124,종암동 주민센터,02-2241-5520,서울특별시 성북구 종암로 98-8
125,월곡1동 주민센터,02-2241-5560,서울특별시 성북구 오패산로 96
126,월곡2동 주민센터,02-2241-5600,서울특별시 성북구 화랑로 152
127,장위1동 주민센터,02-2241-5640,서울특별시 성북구 장위로 61
128,장위2동 주민센터,02-2241-5680,서울특별시 성북구 돌곶이로27길 12
129,장위3동 주민센터,02-2241-5720,서울특별시 성북구 한천로 657
130,석관동 주민센터,02-2241-5760,서울특별시 성북구 화랑로 296
131,미아동 주민센터,02-901-2024,서울특별시 강북구 솔매로49길 14
132,삼각산동 주민센터,02-901-2052,서울특별시 강북구 삼양로19길 102
133,삼양동 주민센터,02-901-2014,서울특별시 강북구 삼양로 268
134,송중동 주민센터,02-901-2232,서울특별시 강북구 오패산로 162
135,송천동 주민센터,02-901-2042,서울특별시 강북구 솔샘로 284
136,번1동 주민센터,02-901-2064,서울특별시 강북구 덕릉로41길 74
137,번2동 주민센터,02-901-2072,서울특별시 강북구 한천로 897
138,번3동 주민센터,02-901-2084,서울특별시 강북구 한천로105길 21
139,수유1동 주민센터,02-901-2094,서울특별시 강북구 삼양로 299
140,수유2동 주민센터,02-901-2104,서울특별시 강북구 한천로 1117
141,수유3동 주민센터,02-901-2112,서울특별시 강북구 노해로 36
142,우이동 주민센터,02-901-2123,서울특별시 강북구 삼양로139길 49
143,인수동 주민센터,02-901-2132,서울특별시 강북구 인수봉로 255
144,쌍문1동 주민센터,02-2091-5881,서울특별시 도봉구 노해로 147
145,쌍문2동 주민센터,02-2091-5882,서울특별시 도봉구 방학로3길 117
146,쌍문3동 주민센터,02-2091-5883,서울특별시 도봉구 노해로44길 9
147,쌍문4동 주민센터,02-2091-5884,서울특별시 도봉구 시루봉로 62-7
148,방학1동 주민센터,02-2091-5885,서울특별시 도봉구 방학로2길 27
149,방학2동 주민센터,02-2091-5886,서울특별시 도봉구 시루봉로 226
150,방학3동 주민센터,02-2091-5667,서울특별시 도봉구 시루봉로 94
151,창1동 주민센터,02-2091-5888,서울특별시 도봉구 해등로 46
152,창2동 주민센터,02-2091-5889,서울특별시 도봉구 덕릉로59길 73-3
153,창3동 주민센터,02-2091-5890,서울특별시 도봉구 덕릉로62길 89
154,창4동 주민센터,02-2091-5891,서울특별시 도봉구 노해로 390
155,창5동 주민센터,02-2091-5892,서울특별시 도봉구 도봉로136나길 20
156,도봉1동 주민센터,02-2091-5893,서울특별시 도봉구 도봉로169나길 22
157,도봉2동 주민센터,02-2091-5894,서울특별시 도봉구 마들로 668
158,월계1동 주민센터,02-2116-2417,서울특별시 노원구 석계로 59
159,월계2동 주민센터,02-2116-2450,서울특별시 노원구 초안산로5길 28
160,월계3동 주민센터,02-2116-2482,서울특별시 노원구 마들로 57
161,공릉1동 주민센터,02-2116-2511,서울특별시 노원구 동일로186길 3-24
162,공릉2동 주민센터,02-2116-2545,서울특별시 노원구 노원로1길 68
163,하계1동 주민센터,02-2116-2570,서울특별시 노원구 노원로 261
164,하계2동 주민센터,02-2116-2601,서울특별시 노원구 공릉로55길 88
165,상계10동 주민센터,02-2116-2966,서울특별시 노원구 노원로 530
166,상계1동 주민센터,02-2116-2756,서울특별시 노원구 동일로 1697
167,상계2동 주민센터,02-2116-2782,서울특별시 노원구 상계로23길 17
168,상계3.4동주민센터,02-2116-2812,서울특별시 노원구 덕릉로 859
169,상계5동 주민센터,02-2116-2841,서울특별시 노원구 한글비석로 434
170,상계6.7동주민센터,02-2116-2870,서울특별시 노원구 노원로 429
171,상계8동 주민센터,02-2116-2903,서울특별시 노원구 동일로227길 97
172,상계9동 주민센터,02-2116-2935,서울특별시 노원구 한글비석로 487
173,중계1동 주민센터,02-2116-2663,서울특별시 노원구 한글비석로 279
174,중계2.3동 주민센터,02-2116-2695,서울특별시 노원구 노원로17길 56
175,중계4동 주민센터,02-2116-2721,서울특별시 노원구 덕릉로82길 50
176,중계본동 주민센터,02-2116-2632,서울특별시 노원구 중계로 143
177,수색동 주민센터,02-351-5422,서울특별시 은평구 은평터널로 27
178,녹번동 주민센터,02-351-5002,서울특별시 은평구 은평로 195
179,불광1동 주민센터,02-351-5032,서울특별시 은평구 진흥로15길 10
180,불광2동 주민센터,02-351-5062,서울특별시 은평구 연서로41길 16
181,갈현1동 주민센터,02-351-5092,서울특별시 은평구 갈현로 301
182,갈현2동 주민센터,02-351-5122,서울특별시 은평구 연서로27길 31-6
183,구산동 주민센터,02-351-5152,서울특별시 은평구 갈현로17길 10
184,대조동 주민센터,02-351-5182,서울특별시 은평구 연서로20길 24-3
185,응암1동 주민센터,02-351-5212,서울특별시 은평구 백련산로 179
186,응암2동 주민센터,02-351-5242,서울특별시 은평구 백련산로 100
187,응암3동 주민센터,02-351-5272,서울특별시 은평구 불광천길 410-17
188,역촌동 주민센터,02-351-5302,서울특별시 은평구 연서로 59
189,신사1동 주민센터,02-351-5332,서울특별시 은평구 은평로2길 2
190,신사2동 주민센터,02-351-5362,서울특별시 은평구 증산로15길 47
191,증산동 주민센터,02-351-5392,서울특별시 은평구 증산서길 89
192,진관동 주민센터,02-351-5452,서울특별시 은평구 진관2로 31
193,천연동 주민센터,02-330-8103,서울특별시 서대문구 성산로 694
194,북아현동 주민센터,02-330-8105,서울특별시 서대문구 북아현로 24
195,충현동 주민센터,02-330-8101,서울특별시 서대문구 북아현로22길 38
196,홍제1동 주민센터,02-330-8121,서울특별시 서대문구 통일로 435-1
197,홍제2동 주민센터,02-330-8127,서울특별시 서대문구 통일로34길 27
198,홍제3동 주민센터,02-330-8125,서울특별시 서대문구 세검정로4길 32
199,신촌동 주민센터,02-330-8111,서울특별시 서대문구 이화여대길 92-8
200,연희동 주민센터,02-330-8115,서울특별시 서대문구 연희로 189
